Title,Company,City,Description,URL
Recrutement en urgence d'un manager d'équipe profil télévente /appels sortants,ARIA,20-03-2025 |  ARIA Casablanca - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/aria-recrutement-en-urgence-d-un-manager-d-equipe-profil-televente-appels-sortants-141111
Vous êtes un(une) pro de la vente avec un vrai talent pour convaincre et vendre avec conviction,STEVENS & MAC FIELD GROUP,02-04-2025 | STEVENS & MAC FIELD GROUP - Site Gauthier- - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/stevens-amp-mac-field-group-vous-etes-un-une-pro-de-la-vente-avec-un-vrai-talent-pour-convaincre-et-vendre-avec-conviction-140594
Recrutement en masse de téléconseillers en téléphonie,SHY Performance,15-04-2025 | SHY PERFORMANCE - Agadir,N/A,https://www.moncallcenter.ma/offre-emploi/shy-performance-recrutement-en-masse-de-teleconseillers-en-telephonie-126130
Recrute commerciaux en free lance pour le changement de fournisseur electrique,Excellence Call,03-04-2025 | Maroc,N/A,https://www.moncallcenter.ma/offre-emploi/excellence-call-recrute-commerciaux-en-free-lance-pour-le-changement-de-fournisseur-electrique-142005
Teleoperadores con o sin experiencia – 5000 mad,Imperialcom,06-04-2025 | Imperialcom - Tanger,N/A,https://www.moncallcenter.ma/offre-emploi/imperialcom-teleoperadores-con-o-sin-experiencia-5000-mad-142805
Asesores de servicio al cliente hispanohablantes // 7000 dh + primas,MF Call,08-04-2025 | MF Call - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/mf-call-asesores-de-servicio-al-cliente-hispanohablantes-7000-dh-primas-142914
Commercial web assurance h/f- salaire motivant- emploi a long terme,Finvens Operations,15-04-2025 | Finvens Operations - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/finvens-operations-commercial-web-assurance-h-f-salaire-motivant-emploi-a-long-terme-141033
Agents experts en pv/pac /pas de vente ni prise de rdv/ juste la qualification de fiches,Digital Up,15-04-2025 | DigitalUp Maarif - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/digital-up-agents-experts-en-pv-pac-pas-de-vente-ni-prise-de-rdv-juste-la-qualification-de-fiches-133559
Offres d'emploi sur casablanca : téléconseillers pour la pac ssc,CMS,07-04-2025 | CMS FACTORY - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/cms-offres-d-emploi-sur-casablanca-teleconseillers-pour-la-pac-ssc-138244
Reclutamiento inmediato perfiles hispanohablantes //7000dh+ primas,MF Call,14-04-2025 | MF Call - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/mf-call-reclutamiento-inmediato-perfiles-hispanohablantes-7000dh-primas-143265
Rejoignez le leader des centres d'appel à marrakech !  ..   7500dh +les primes,Kingcall Marrakech,17-03-2025 | KINGCALL - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/kingcall-marrakech-rejoignez-le-leader-des-centres-d-appel-a-marrakech-7500dh-les-primes-141602
"Recrutement des agents expérimentés énergies renouvelables (pv) , salaire fixe",Data Call,15-04-2025 | Data Call - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/data-call-recrutement-des-agents-experimentes-energies-renouvelables-pv-salaire-fixe-135384
Disponibilité immédiate-nous recrutons des télévendeurs…,Konecta Palmier,13-04-2025 | Site Marina - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/konecta-palmier-disponibilite-immediate-nous-recrutons-des-televendeurs-141368
Des profils pour prise des rendez-vous sur marrakech : débutant(e) ou expérimenté(e) 7500dh +primes,Kingcall Marrakech,13-04-2025 | KINGCALL - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/kingcall-marrakech-des-profils-pour-prise-des-rendez-vous-sur-marrakech-debutant-e-ou-experimente-e-7500dh-primes-143224
